날짜,지수종가,거래대금,상장주식수,시가총액,외국인보유주식수,외국인보유시가총액,신용거래종목수,신용자료일자,회사수,거래형성종목수,25일이평상회종목건수,25일이평하회종목건수,배당 수익율
2001-01-02,520.95,1223328.0,19638887.0,191252891.0,2723222.0,58238292.0,746.0,20010102.0,704.0,853.0,26.0,73.0,0.0
2001-01-03,521.43,1583403.0,19633559.0,191363161.0,2727918.0,58249739.0,746.0,20010102.0,704.0,854.0,28.0,71.0,0.0
2001-01-04,558.02,2984761.0,19634734.0,204074166.0,2735566.0,62823637.0,746.0,20010102.0,704.0,855.0,42.0,57.0,0.0
2001-01-05,580.85,3569582.0,19637038.0,212089180.0,2747453.0,65820417.0,746.0,20010103.0,704.0,855.0,43.0,56.0,0.0
2001-01-08,586.65,2948092.0,19630735.0,214231273.0,2751599.0,66348238.0,746.0,20010104.0,704.0,854.0,43.0,56.0,0.0
2001-01-09,589.92,2833998.0,19636252.0,215355041.0,2754673.0,66495885.0,746.0,20010105.0,704.0,854.0,48.0,51.0,0.0
2001-01-10,560.81,3285030.0,19638291.0,205104272.0,2756865.0,63950968.0,746.0,20010108.0,704.0,857.0,44.0,55.0,0.0
2001-01-11,561.79,2721732.0,19641265.0,205561334.0,2749251.0,63694736.0,743.0,20010109.0,704.0,858.0,53.0,46.0,0.0
2001-01-12,587.87,3980149.0,19641865.0,214741982.0,2773909.0,70739059.0,743.0,20010110.0,704.0,857.0,57.0,42.0,0.0
2001-01-15,599.0,3407840.0,19093061.0,217943452.0,2701890.0,71929782.0,743.0,20010111.0,704.0,861.0,61.0,38.0,0.0
2001-01-16,603.42,3352424.0,19103085.0,219350077.0,2708517.0,72886992.0,743.0,20010112.0,703.0,859.0,57.0,42.0,0.0
2001-01-17,595.83,3078571.0,19126066.0,216568720.0,2705108.0,72342328.0,743.0,20010115.0,703.0,859.0,54.0,45.0,0.0
2001-01-18,604.05,3021314.0,19126700.0,219367134.0,2718753.0,73919481.0,745.0,20010116.0,703.0,855.0,55.0,44.0,0.0
2001-01-19,619.78,3002558.0,19100737.0,224822750.0,2730269.0,76120239.0,745.0,20010117.0,703.0,856.0,54.0,44.0,0.0
2001-01-22,627.45,2513407.0,19131209.0,227685053.0,2733235.0,76456948.0,746.0,20010118.0,702.0,857.0,54.0,45.0,0.0
2001-01-26,591.73,2603229.0,19136746.0,215497711.0,2732487.0,71634641.0,746.0,20010119.0,702.0,854.0,50.0,49.0,0.0
2001-01-29,596.54,2397521.0,19141458.0,217207344.0,2739247.0,71809743.0,746.0,20010122.0,703.0,862.0,52.0,47.0,0.0
2001-01-30,591.34,2418190.0,19236025.0,215444336.0,2741897.0,71258794.0,747.0,20010126.0,703.0,863.0,53.0,46.0,0.0
2001-01-31,617.91,2585503.0,19253350.0,224609465.0,2747707.0,75055760.0,752.0,20010129.0,703.0,862.0,57.0,42.0,0.0
2001-02-01,612.3,2211415.0,19258851.0,222747672.0,2758714.0,74581846.0,752.0,20010130.0,703.0,860.0,54.0,45.0,0.0
2001-02-02,608.48,1794823.0,19517706.0,222182669.0,2759049.0,74188224.0,752.0,20010131.0,705.0,866.0,59.0,40.0,0.0
2001-02-05,579.16,1897013.0,19518506.0,211926329.0,2755393.0,70615966.0,752.0,20010201.0,705.0,866.0,66.0,33.0,0.0
2001-02-06,586.58,1608178.0,19475874.0,214311425.0,2752224.0,71229194.0,752.0,20010202.0,705.0,864.0,75.0,24.0,0.0
2001-02-07,576.19,1469919.0,19466254.0,210579200.0,2750066.0,70152016.0,752.0,20010205.0,704.0,864.0,76.0,23.0,0.0
2001-02-08,591.57,1726606.0,19475991.0,215902566.0,2752522.0,71969628.0,752.0,20010206.0,704.0,864.0,76.0,23.0,0.0
2001-02-09,595.47,2030005.0,19476061.0,217282483.0,2757128.0,72350499.0,752.0,20010207.0,704.0,858.0,76.0,23.0,0.0
2001-02-12,599.2,1895873.0,19441694.0,218641619.0,2764581.0,72624815.0,752.0,20010208.0,700.0,863.0,76.0,23.0,0.0
2001-02-13,598.78,1990403.0,19438438.0,218368594.0,2772241.0,72549077.0,752.0,20010209.0,700.0,863.0,67.0,32.0,0.0
2001-02-14,603.83,2151929.0,19438438.0,220115581.0,2776247.0,73069052.0,752.0,20010212.0,700.0,865.0,67.0,32.0,0.0
2001-02-15,603.63,2020480.0,19438894.0,219926954.0,2779190.0,73321453.0,752.0,20010213.0,700.0,863.0,60.0,39.0,0.0
2001-02-16,604.92,1853013.0,19441714.0,220314910.0,2783198.0,73989998.0,752.0,20010214.0,700.0,863.0,56.0,43.0,0.0
2001-02-19,596.67,1609531.0,19441735.0,217406956.0,2779698.0,72850893.0,752.0,20010215.0,700.0,861.0,71.0,28.0,0.0
2001-02-20,608.74,2722295.0,19445150.0,221510447.0,2779060.0,73757494.0,751.0,20010216.0,700.0,864.0,69.0,30.0,0.0
2001-02-21,594.53,2430723.0,19447428.0,216452336.0,2775813.0,71782418.0,751.0,20010219.0,700.0,860.0,67.0,32.0,0.0
2001-02-22,583.41,2300710.0,19449247.0,212605959.0,2772205.0,70162010.0,751.0,20010220.0,700.0,863.0,59.0,40.0,0.0
2001-02-23,583.52,2115209.0,19476593.0,212883652.0,2768845.0,69847429.0,752.0,20010221.0,700.0,862.0,65.0,34.0,0.0
2001-02-26,585.32,1803583.0,19476593.0,213488224.0,2770359.0,69915296.0,752.0,20010222.0,700.0,865.0,73.0,26.0,0.0
2001-02-27,577.57,2148639.0,19513271.0,210868607.0,2769776.0,69207729.0,752.0,20010223.0,700.0,868.0,72.0,27.0,0.0
2001-02-28,578.1,1582342.0,19513271.0,211152078.0,2770240.0,69276398.0,751.0,20010226.0,700.0,862.0,69.0,30.0,0.0
2001-03-02,559.44,1903049.0,19513458.0,204706040.0,2760826.0,67621317.0,751.0,20010227.0,700.0,863.0,54.0,45.0,0.0
2001-03-05,565.38,1568472.0,19513502.0,206739438.0,2756544.0,68769260.0,751.0,20010228.0,700.0,856.0,56.0,43.0,0.0
2001-03-06,568.15,2222220.0,19420910.0,207810985.0,2758537.0,69233518.0,751.0,20010302.0,700.0,861.0,52.0,47.0,0.0
2001-03-07,568.64,1838749.0,19422144.0,207763639.0,2760147.0,69678189.0,751.0,20010305.0,700.0,863.0,53.0,46.0,0.0
2001-03-08,579.28,1510045.0,19423131.0,211557507.0,2752620.0,70726310.0,751.0,20010306.0,700.0,864.0,53.0,46.0,0.0
2001-03-09,565.76,1420750.0,19423154.0,206891632.0,2748707.0,68799567.0,750.0,20010307.0,700.0,863.0,53.0,46.0,0.0
2001-03-12,545.05,1556781.0,19412158.0,199426365.0,2739742.0,65962958.0,750.0,20010308.0,700.0,866.0,48.0,51.0,0.0
2001-03-13,527.97,1629242.0,19404238.0,193383125.0,2724789.0,64160255.0,750.0,20010309.0,700.0,864.0,42.0,56.0,0.0
2001-03-14,543.28,1784541.0,19396497.0,198586547.0,2721193.0,66121385.0,750.0,20010312.0,699.0,864.0,48.0,51.0,0.0
2001-03-15,541.83,1671056.0,19396655.0,198017123.0,2714359.0,65974541.0,749.0,20010313.0,699.0,861.0,47.0,52.0,0.0
2001-03-16,538.67,1409229.0,19398935.0,196973564.0,2711720.0,65614998.0,749.0,20010314.0,699.0,861.0,45.0,54.0,0.0
2001-03-19,534.33,1188001.0,19412042.0,195479241.0,2710692.0,65054945.0,749.0,20010315.0,699.0,861.0,41.0,58.0,0.0
2001-03-20,531.59,1229766.0,19412907.0,194504807.0,2706621.0,64564442.0,749.0,20010316.0,698.0,865.0,40.0,59.0,0.0
2001-03-21,532.59,1357914.0,19413307.0,194824228.0,2703168.0,64603686.0,751.0,20010319.0,698.0,862.0,40.0,59.0,0.0
2001-03-22,527.05,1591322.0,19431320.0,192796864.0,2717638.0,64232999.0,751.0,20010320.0,698.0,865.0,36.0,64.0,0.0
2001-03-23,537.97,1920406.0,19433703.0,196580110.0,2713791.0,66140375.0,751.0,20010321.0,700.0,864.0,38.0,61.0,0.0
2001-03-26,545.98,1845347.0,19431981.0,199393211.0,2704429.0,67029951.0,751.0,20010322.0,700.0,867.0,39.0,60.0,0.0
2001-03-27,532.9,1722045.0,19432170.0,194872953.0,2707023.0,65374855.0,752.0,20010323.0,700.0,863.0,33.0,66.0,0.0
2001-03-28,528.79,1508932.0,19441845.0,193425812.0,2704268.0,64941310.0,752.0,20010326.0,700.0,867.0,26.0,73.0,0.0
