날짜,지수종가,거래량,거래대금,상장주식수,시가총액,자본금,외국인보유주식수,외국인보유시가총액,신용거래종목수,신용가능종목거래량,신용자료일자,전체종목수,회사수,거래형성종목수,상승종목수,하락종목수,보합종목수,상한종목수,하한종목수,25일이평상회종목건수,25일이평하회종목건수,52주신고가종목수,52주신저가종목수,배당 수익율
2001-01-02,520.95,231014600.0,1223328.0,19638887.0,191252891.0,84895076.0,2723222.0,58238292.0,746.0,419388020,20010102.0,902.0,704.0,853.0,618.0,215.0,22.0,167.0,16.0,26.0,73.0,1.0,85.0,0.0
2001-01-03,521.43,324584400.0,1583403.0,19633559.0,191363161.0,84868436.0,2727918.0,58249739.0,746.0,552328408,20010102.0,902.0,704.0,854.0,488.0,316.0,52.0,85.0,6.0,28.0,71.0,1.0,12.0,0.0
2001-01-04,558.02,444540900.0,2984761.0,19634734.0,204074166.0,84873582.0,2735566.0,62823637.0,746.0,537148329,20010102.0,902.0,704.0,855.0,752.0,83.0,20.0,149.0,3.0,42.0,57.0,1.0,2.0,0.0
2001-01-05,580.85,578286000.0,3569582.0,19637038.0,212089180.0,84885103.0,2747453.0,65820417.0,746.0,542815536,20010103.0,902.0,704.0,855.0,427.0,393.0,37.0,92.0,9.0,43.0,56.0,3.0,2.0,0.0
2001-01-08,586.65,558645100.0,2948092.0,19630735.0,214231273.0,84853590.0,2751599.0,66348238.0,746.0,597686581,20010104.0,902.0,704.0,854.0,533.0,278.0,45.0,72.0,5.0,43.0,56.0,6.0,1.0,0.0
2001-01-09,589.92,558967700.0,2833998.0,19636252.0,215355041.0,84881174.0,2754673.0,66495885.0,746.0,496064040,20010105.0,902.0,704.0,854.0,527.0,282.0,49.0,64.0,8.0,48.0,51.0,6.0,1.0,0.0
2001-01-10,560.81,642378200.0,3285030.0,19638291.0,205104272.0,84891369.0,2756865.0,63950968.0,746.0,682011056,20010108.0,902.0,704.0,857.0,137.0,698.0,23.0,36.0,35.0,44.0,55.0,7.0,2.0,0.0
2001-01-11,561.79,518788600.0,2721732.0,19641265.0,205561334.0,84906240.0,2749251.0,63694736.0,743.0,582772001,20010109.0,902.0,704.0,858.0,574.0,242.0,43.0,87.0,11.0,53.0,46.0,5.0,2.0,0.0
2001-01-12,587.87,713787700.0,3980149.0,19641865.0,214741982.0,84909240.0,2773909.0,70739059.0,743.0,583319476,20010110.0,902.0,704.0,857.0,494.0,298.0,68.0,27.0,9.0,57.0,42.0,6.0,1.0,0.0
2001-01-15,599.0,611961800.0,3407840.0,19093061.0,217943452.0,82165217.0,2701890.0,71929782.0,743.0,476008701,20010111.0,903.0,704.0,861.0,462.0,334.0,67.0,49.0,11.0,61.0,38.0,7.0,2.0,0.0
2001-01-16,603.42,606278900.0,3352424.0,19103085.0,219350077.0,82215337.0,2708517.0,72886992.0,743.0,427818667,20010112.0,901.0,703.0,859.0,286.0,526.0,50.0,32.0,9.0,57.0,42.0,4.0,3.0,0.0
2001-01-17,595.83,501660400.0,3078571.0,19126066.0,216568720.0,82330244.0,2705108.0,72342328.0,743.0,409796989,20010115.0,901.0,703.0,859.0,243.0,582.0,35.0,20.0,20.0,54.0,45.0,2.0,5.0,0.0
2001-01-18,604.05,453764800.0,3021314.0,19126700.0,219367134.0,82333415.0,2718753.0,73919481.0,745.0,443504614,20010116.0,901.0,703.0,855.0,309.0,484.0,64.0,15.0,12.0,55.0,44.0,0.0,4.0,0.0
2001-01-19,619.78,432454200.0,3002558.0,19100737.0,224822750.0,82201582.0,2730269.0,76120239.0,745.0,424395074,20010117.0,901.0,703.0,856.0,417.0,365.0,75.0,29.0,8.0,54.0,44.0,1.0,2.0,0.0
2001-01-22,627.45,484953800.0,2513407.0,19131209.0,227685053.0,82276177.0,2733235.0,76456948.0,746.0,417774735,20010118.0,900.0,702.0,857.0,637.0,161.0,59.0,54.0,5.0,54.0,45.0,1.0,1.0,0.0
2001-01-26,591.73,443736600.0,2603229.0,19136746.0,215497711.0,82302346.0,2732487.0,71634641.0,746.0,469367635,20010119.0,900.0,702.0,854.0,204.0,607.0,47.0,18.0,12.0,50.0,49.0,2.0,2.0,0.0
2001-01-29,596.54,461154800.0,2397521.0,19141458.0,217207344.0,82319908.0,2739247.0,71809743.0,746.0,405869444,20010122.0,901.0,703.0,862.0,581.0,234.0,49.0,62.0,2.0,52.0,47.0,1.0,1.0,0.0
2001-01-30,591.34,498673100.0,2418190.0,19236025.0,215444336.0,82792740.0,2741897.0,71258794.0,747.0,358194321,20010126.0,901.0,703.0,863.0,421.0,394.0,49.0,33.0,2.0,53.0,46.0,4.0,1.0,0.0
2001-01-31,617.91,442127200.0,2585503.0,19253350.0,224609465.0,82802303.0,2747707.0,75055760.0,752.0,308302850,20010129.0,901.0,703.0,862.0,488.0,303.0,72.0,40.0,4.0,57.0,42.0,1.0,2.0,0.0
2001-02-01,612.3,396006900.0,2211415.0,19258851.0,222747672.0,82824838.0,2758714.0,74581846.0,752.0,319052279,20010130.0,902.0,703.0,860.0,307.0,510.0,44.0,23.0,6.0,54.0,45.0,4.0,1.0,0.0
2001-02-02,608.48,345289400.0,1794823.0,19517706.0,222182669.0,84119115.0,2759049.0,74188224.0,752.0,296847323,20010131.0,906.0,705.0,866.0,371.0,439.0,59.0,38.0,5.0,59.0,40.0,10.0,2.0,0.0
