날짜,코스피,코스피 대형주,코스피 중형주,코스피 소형주,철강금속,제조업,종이목재,화학,비금속광물,기계,전기전자,운수장비,건설업,서비스업,의료정밀,금융업,증권
2001-01-02,15.89,10.83,3.12,23.45,5.61,8.33,4397.24,4.16,3.68,13.54,6.36,8.16,6.54,9.84,5.56,99.07,14.08
2001-01-03,15.89,10.82,3.15,24.03,5.62,8.37,4408.54,4.21,3.67,13.35,6.4,8.2,6.69,9.98,5.61,99.44,14.43
2001-01-04,16.99,11.61,3.33,25.2,6.03,9.01,4421.69,4.42,3.79,14.14,7.07,8.64,7.42,10.51,6.2,99.79,16.56
2001-01-05,17.69,12.09,3.44,25.27,6.22,9.3,4436.84,4.55,3.8,14.51,7.37,8.98,8.21,10.83,6.34,100.12,18.39
2001-01-08,17.87,12.2,3.51,25.86,6.23,9.4,4451.49,4.62,3.92,14.82,7.41,9.22,8.17,11.03,6.72,100.46,18.62
2001-01-09,18.06,12.24,3.62,28.84,6.43,9.53,4463.94,4.74,3.92,15.35,7.39,9.34,7.91,11.32,7.33,100.79,18.7
2001-01-10,17.17,11.63,3.42,27.57,6.59,9.12,4476.46,4.5,3.69,14.27,7.01,8.64,7.34,11.08,7.13,101.15,16.69
2001-01-11,17.2,11.61,3.53,28.41,6.5,9.06,4487.3,4.48,3.75,14.45,7.01,8.41,7.68,11.29,7.4,101.5,18.9
2001-01-12,18.02,12.26,3.59,28.62,6.87,9.52,4501.81,4.69,4.0,14.76,7.37,8.95,7.72,11.83,7.5,101.85,18.69
2001-01-15,16.63,12.52,3.69,31.93,6.84,9.76,4527.03,4.85,4.31,14.93,7.64,9.03,7.64,12.11,7.82,102.35,18.96
2001-01-16,16.77,12.6,3.71,31.54,6.65,9.91,4550.14,4.73,4.4,14.92,7.97,9.24,7.63,12.01,7.55,102.85,20.63
2001-01-17,16.62,12.46,3.64,31.04,6.43,9.9,4571.2,4.65,4.23,14.48,8.01,9.17,7.73,11.61,7.16,103.35,19.71
2001-01-18,16.84,12.65,3.62,30.85,6.7,10.18,4592.45,4.71,4.2,14.65,8.3,9.43,7.65,11.71,7.34,103.87,20.15
2001-01-19,17.28,13.06,3.66,30.98,6.98,10.61,4615.15,4.83,4.27,14.76,8.71,10.02,7.64,12.05,8.02,104.4,20.45
2001-01-22,17.67,13.18,3.8,30.61,6.93,10.63,4636.41,4.92,4.35,15.12,8.73,10.11,8.67,12.67,8.84,104.91,21.17
2001-01-26,16.66,12.37,3.66,30.01,6.89,9.84,4658.24,4.65,4.21,14.71,7.76,9.59,8.74,12.33,8.1,105.44,19.22
2001-01-29,16.79,12.46,3.73,30.98,7.02,9.98,4679.24,4.73,4.34,15.02,7.83,9.85,9.57,12.7,8.29,105.97,19.3
2001-01-30,17.37,12.79,3.75,31.15,6.35,9.96,4700.99,4.75,4.28,14.93,7.95,9.79,8.97,12.54,8.12,106.48,18.96
2001-01-31,18.14,13.41,3.82,31.11,6.92,10.42,4727.26,4.85,4.35,15.26,8.38,10.09,9.2,12.74,8.44,106.98,20.69
2001-02-01,18.01,13.28,3.79,31.0,6.95,10.32,4753.94,4.79,4.56,15.2,8.17,10.29,8.89,12.48,8.24,107.49,19.84
2001-02-02,17.9,13.18,3.81,30.95,6.95,10.28,4779.84,4.75,4.58,15.03,8.16,10.09,8.76,12.5,8.55,108.01,19.77
2001-02-05,17.03,12.5,3.65,30.21,6.68,9.82,4803.18,4.56,4.44,14.61,7.69,9.79,7.99,11.9,8.18,108.55,18.01
2001-02-06,17.26,12.67,3.71,30.56,6.66,9.88,4827.39,4.66,4.53,14.98,7.7,9.91,8.17,12.04,8.14,109.09,18.35
2001-02-07,16.95,12.42,3.65,30.3,6.62,9.71,4850.67,4.64,4.54,14.85,7.52,9.79,8.14,11.9,7.89,109.64,17.91
2001-02-08,17.41,12.78,3.71,30.66,6.66,9.97,4874.98,4.74,4.57,14.97,7.79,10.04,8.25,12.14,8.09,110.19,18.56
2001-02-09,17.52,12.84,3.76,30.86,6.73,10.05,4898.66,4.85,4.56,14.98,7.83,10.15,8.38,12.16,8.19,110.74,19.59
