³¯Â¥,USD,EUR,CNY,JPY,GBP
2001-01-02,1259.7,1185.38,152.19,1099.07,1885.02
2001-01-03,1267.8,1205.49,153.15,1108.07,1903.35
2001-01-04,1285.4,1193.24,155.29,1128.53,1914.15
2001-01-05,1249.3,1190.9,150.92,1078.01,1876.82
2001-01-08,1267.8,1215.06,153.16,1088.71,1906.33
2001-01-09,1264.6,1196.69,152.77,1088.67,1892.98
2001-01-10,1257.9,1187.39,151.97,1074.67,1873.01
2001-01-11,1261.6,1181.93,152.42,1083.57,1876.19
2001-01-12,1276.6,1214.3,154.24,1082.41,1911.2
2001-01-13,1281.2,1193.25,149.59,1078.5,1860.14
2001-01-15,1281.2,1218.23,154.79,1078.5,1895.09
2001-01-16,1285.9,1212.15,155.37,1079.91,1898.37
2001-01-17,1284.4,1210.48,155.18,1091.06,1891.21
2001-01-18,1277.2,1194.76,154.32,1071.25,1881.44
2001-01-19,1286.5,1213.11,155.44,1090.44,1895.01
2001-01-22,1276.7,1193.91,154.26,1094.05,1869.09
2001-01-26,1270.9,1175.26,157.8,1084.48,1907.6
2001-01-29,1275.3,1178.06,154.05,1084.48,1863.15
2001-01-30,1279.5,1174.52,154.56,1096.17,1867.43
2001-01-31,1265.5,1172.68,152.86,1093.78,1851.05
2001-02-01,1261.3,1181.65,152.37,1081.22,1847.17
2001-02-02,1259.7,1180.97,152.19,1090.41,1860.45
2001-02-05,1251.9,1172.72,151.24,1081.79,1839.29
2001-02-06,1258.6,1180.13,152.06,1096.58,1855.37
2001-02-07,1257.0,1170.2,151.87,1095.71,1835.6
2001-02-08,1263.4,1173.51,152.65,1087.54,1835.15
2001-02-09,1268.8,1166.03,153.31,1086.63,1833.04
2001-02-12,1261.3,1167.02,152.4,1073.68,1822.64
2001-02-13,1265.2,1179.1,152.85,1077.22,1838.97
2001-02-14,1256.4,1156.08,151.8,1076.15,1824.29
2001-02-15,1252.1,1149.37,152.65,1077.08,1821.74
2001-02-16,1246.9,1128.88,150.64,1078.59,1806.76
2001-02-19,1242.4,1134.12,150.1,1070.71,1798.37
2001-02-20,1248.0,1149.6,150.79,1075.63,1806.17
2001-02-21,1243.3,1131.84,150.22,1075.33,1798.25
2001-02-22,1235.7,1124.3,149.29,1061.73,1783.73
2001-02-23,1244.3,1126.03,150.33,1062.87,1799.69
2001-02-26,1246.6,1143.44,150.6,1074.75,1811.75
2001-02-27,1247.8,1134.5,150.74,1070.98,1801.45
2001-02-28,1245.7,1144.05,150.48,1071.48,1798.6
2001-03-02,1249.8,1164.06,150.98,1063.7,1818.77
2001-03-03,1261.4,1179.85,152.07,1059.38,1830.63
2001-03-05,1261.4,1179.72,152.38,1056.98,1853.69
2001-03-06,1274.3,1180.96,153.94,1069.49,1869.53
2001-03-07,1266.3,1182.03,152.98,1066.81,1857.54
2001-03-08,1269.7,1179.61,153.4,1061.62,1855.03
2001-03-09,1274.7,1189.36,154.01,1064.29,1873.17
2001-03-12,1267.1,1180.87,153.08,1059.01,1858.2
2001-03-13,1278.7,1188.62,154.46,1060.5,1873.68
2001-03-14,1279.3,1170.3,154.54,1068.67,1853.58
2001-03-15,1275.2,1161.9,154.05,1054.76,1843.17
2001-03-16,1286.2,1155.97,155.38,1054.26,1846.66
2001-03-19,1291.6,1158.82,156.04,1049.36,1848.93
2001-03-20,1298.4,1167.52,156.86,1057.16,1851.45
2001-03-21,1294.9,1180.63,156.44,1060.96,1862.07
2001-03-22,1302.9,1167.33,157.41,1058.02,1863.02
2001-03-23,1313.8,1167.25,158.73,1062.04,1867.3
2001-03-26,1314.7,1169.23,158.83,1066.09,1875.16
2001-03-27,1312.5,1178.03,158.57,1072.35,1884.03
2001-03-28,1307.5,1168.12,158.02,1072.86,1876.7
2001-03-29,1303.3,1155.31,157.45,1065.96,1873.62
2001-03-30,1314.0,1159.41,158.74,1064.27,1876.85
2001-03-31,1328.0,1167.71,158.53,1052.72,1872.41
2001-04-02,1328.0,1162.73,160.43,1050.22,1879.72
2001-04-03,1342.3,1182.7,162.16,1059.01,1905.66
2001-04-04,1345.4,1207.83,162.54,1071.18,1928.03
2001-04-06,1351.5,1211.15,163.29,1089.7,1929.6
