³¯Â¥,Y,Áö¼ö½Ã°¡,Áö¼ö°í°¡,Áö¼öÀú°¡,Áö¼öÁ¾°¡,°Å·¡·®,°Å·¡´ë±Ý,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,ÀÚº»±Ý,¿Ü±¹ÀÎº¸À¯ÁÖ½Ä¼ö,¿Ü±¹ÀÎº¸À¯½Ã°¡ÃÑ¾×,½Å¿ë°Å·¡Á¾¸ñ¼ö,½Å¿ë°¡´ÉÁ¾¸ñ°Å·¡·®,½Å¿ëÀÚ·áÀÏÀÚ,ÀüÃ¼Á¾¸ñ¼ö,È¸»ç¼ö,°Å·¡Çü¼ºÁ¾¸ñ¼ö,»ó½ÂÁ¾¸ñ¼ö,ÇÏ¶ôÁ¾¸ñ¼ö,º¸ÇÕÁ¾¸ñ¼ö,»óÇÑÁ¾¸ñ¼ö,ÇÏÇÑÁ¾¸ñ¼ö,¿¬ÁßÃÖ°í°¡Á¾¸ñ¼ö,¿¬ÁßÃÖÀú°¡Á¾¸ñ¼ö,25ÀÏÀÌÆò»óÈ¸Á¾¸ñ°Ç¼ö,25ÀÏÀÌÆòÇÏÈ¸Á¾¸ñ°Ç¼ö,52ÁÖ½Å°í°¡Á¾¸ñ¼ö,52ÁÖ½ÅÀú°¡Á¾¸ñ¼ö,¹è´ç ¼öÀÍÀ²
2001-01-02,»ó½Â,503.31,521.34,500.97,520.95,231014600,1223328,19638887,191252891,84895076,2723222,58238292,746,419388020,20010102,902,704,853,618,215,22,167,16,0,0,26,73,1,85,0
2001-01-03,»ó½Â,512.74,524.58,510.7,521.43,324584400,1583403,19633559,191363161,84868436,2727918,58249739,746,552328408,20010102,902,704,854,488,316,52,85,6,0,0,28,71,1,12,0
2001-01-04,»ó½Â,551.53,567.16,550.91,558.02,444540900,2984761,19634734,204074166,84873582,2735566,62823637,746,537148329,20010102,902,704,855,752,83,20,149,3,0,0,42,57,1,2,0
2001-01-05,»ó½Â,559.54,581.41,555.4,580.85,578286000,3569582,19637038,212089180,84885103,2747453,65820417,746,542815536,20010103,902,704,855,427,393,37,92,9,0,0,43,56,3,2,0
2001-01-08,»ó½Â,573.72,587.91,572.48,586.65,558645100,2948092,19630735,214231273,84853590,2751599,66348238,746,597686581,20010104,902,704,854,533,278,45,72,5,0,0,43,56,6,1,0
2001-01-09,»ó½Â,583.85,589.92,572.55,589.92,558967700,2833998,19636252,215355041,84881174,2754673,66495885,746,496064040,20010105,902,704,854,527,282,49,64,8,0,0,48,51,6,1,0
2001-01-10,»ó½Â,586.63,593.86,560.81,560.81,642378200,3285030,19638291,205104272,84891369,2756865,63950968,746,682011056,20010108,902,704,857,137,698,23,36,35,0,0,44,55,7,2,0
2001-01-11,»ó½Â,568.26,570.57,557.86,561.79,518788600,2721732,19641265,205561334,84906240,2749251,63694736,743,582772001,20010109,902,704,858,574,242,43,87,11,0,0,53,46,5,2,0
2001-01-12,»ó½Â,578.95,601.09,578.95,587.87,713787700,3980149,19641865,214741982,84909240,2773909,70739059,743,583319476,20010110,902,704,857,494,298,68,27,9,0,0,57,42,6,1,0
2001-01-15,»ó½Â,595.06,608.22,588.87,599,611961800,3407840,19093061,217943452,82165217,2701890,71929782,743,476008701,20010111,903,704,861,462,334,67,49,11,0,0,61,38,7,2,0
2001-01-16,ÇÏ¶ô,600.68,608.51,588.42,603.42,606278900,3352424,19103085,219350077,82215337,2708517,72886992,743,427818667,20010112,901,703,859,286,526,50,32,9,0,0,57,42,4,3,0
2001-01-17,»ó½Â,600.75,610.47,587.26,595.83,501660400,3078571,19126066,216568720,82330244,2705108,72342328,743,409796989,20010115,901,703,859,243,582,35,20,20,0,0,54,45,2,5,0
2001-01-18,ÇÏ¶ô,597.15,612.9,596.66,604.05,453764800,3021314,19126700,219367134,82333415,2718753,73919481,745,443504614,20010116,901,703,855,309,484,64,15,12,0,0,55,44,0,4,0
2001-01-19,ÇÏ¶ô,622.25,622.25,613.66,619.78,432454200,3002558,19100737,224822750,82201582,2730269,76120239,745,424395074,20010117,901,703,856,417,365,75,29,8,0,0,54,44,1,2,0
2001-01-22,ÇÏ¶ô,622.52,627.45,614.08,627.45,484953800,2513407,19131209,227685053,82276177,2733235,76456948,746,417774735,20010118,900,702,857,637,161,59,54,5,0,0,54,45,1,1,0
2001-01-26,»ó½Â,623.68,624,591.73,591.73,443736600,2603229,19136746,215497711,82302346,2732487,71634641,746,469367635,20010119,900,702,854,204,607,47,18,12,0,0,50,49,2,2,0
2001-01-29,ÇÏ¶ô,592.75,598.11,587.42,596.54,461154800,2397521,19141458,217207344,82319908,2739247,71809743,746,405869444,20010122,901,703,862,581,234,49,62,2,0,0,52,47,1,1,0
2001-01-30,ÇÏ¶ô,601.29,608.05,591.34,591.34,498673100,2418190,19236025,215444336,82792740,2741897,71258794,747,358194321,20010126,901,703,863,421,394,49,33,2,0,0,53,46,4,1,0
2001-01-31,ÇÏ¶ô,594.76,617.91,593.54,617.91,442127200,2585503,19253350,224609465,82802303,2747707,75055760,752,308302850,20010129,901,703,862,488,303,72,40,4,0,0,57,42,1,2,0
2001-02-01,ÇÏ¶ô,606.49,620.78,605.42,612.3,396006900,2211415,19258851,222747672,82824838,2758714,74581846,752,319052279,20010130,902,703,860,307,510,44,23,6,0,0,54,45,4,1,0
2001-02-02,ÇÏ¶ô,614.51,616.67,602.13,608.48,345289400,1794823,19517706,222182669,84119115,2759049,74188224,752,296847323,20010131,906,705,866,371,439,59,38,5,0,0,59,40,10,2,0
2001-02-05,»ó½Â,594.91,595.47,575.58,579.16,354074000,1897013,19518506,211926329,84123115,2755393,70615966,752,279928097,20010201,906,705,866,194,638,36,35,11,0,0,66,33,3,2,0
2001-02-06,»ó½Â,577.25,587.23,573.52,586.58,326302400,1608178,19475874,214311425,83909955,2752224,71229194,752,265389797,20010202,906,705,864,564,241,60,41,4,0,0,75,24,3,3,0
2001-02-07,»ó½Â,584.93,584.93,574.44,576.19,322720500,1469919,19466254,210579200,83861855,2750066,70152016,752,316566527,20010205,905,704,864,226,586,53,28,7,0,0,76,23,4,3,0
2001-02-08,»ó½Â,577.12,591.66,577.12,591.57,282243300,1726606,19475991,215902566,83886877,2752522,71969628,752,279841853,20010206,905,704,864,528,268,69,26,5,0,0,76,23,4,5,0
